,Credit Amount,Duration of Credit (month),Age (years),Account Balance,Occupation,Length of current employment,Payment Status of Previous Credit,Sex,Creditability
266,1000-2999,Less than a year,Older than 30,None,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
267,Less than 1000,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
268,1000-2999,1-2 years,Younger than 30,200DM or above,Unskilled,Less than a year,Delays,Female,Credible
269,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
270,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
271,More than 7000,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
272,Less than 1000,Less than a year,Younger than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
273,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
274,1000-2999,2-3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
275,3000-6999,1-2 years,Older than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Female,Credible
276,3000-6999,1-2 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Female,Credible
277,3000-6999,1-2 years,Younger than 30,None,Skilled,More than 4 years,Delays,Male,Credible
278,3000-6999,2-3 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Credible
279,1000-2999,Less than a year,Older than 30,Below 200DM,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
280,Less than 1000,Less than a year,Younger than 30,Below 200DM,Skilled,Less than a year,Delays,Female,Credible
281,1000-2999,1-2 years,Older than 30,Below 200DM,Unskilled,1-3 years,NA/Not Delayed,Female,Credible
282,3000-6999,1-2 years,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
283,1000-2999,1-2 years,Older than 30,None,Skilled,1-3 years,Delays,Male,Credible
284,3000-6999,1-2 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Credible
285,Less than 1000,Less than a year,Older than 30,200DM or above,Unskilled,Unemployed,NA/Not Delayed,Female,Credible
286,Less than 1000,Less than a year,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Credible
287,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
288,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
289,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
290,3000-6999,1-2 years,Older than 30,200DM or above,Unskilled,Less than a year,Delays,Male,Credible
291,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Credible
292,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,1-3 years,Delays,Male,Credible
293,1000-2999,Less than a year,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
294,Less than 1000,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
295,More than 7000,More than 3 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Credible
296,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
297,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,1-3 years,Delays,Male,Credible
298,Less than 1000,1-2 years,Younger than 30,None,Unskilled,Less than a year,NA/Not Delayed,Female,Credible
299,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,Unemployed,Delays,Male,Credible
300,Less than 1000,1-2 years,Older than 30,No Account,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
301,3000-6999,2-3 years,Younger than 30,Below 200DM,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
302,3000-6999,2-3 years,Younger than 30,Below 200DM,Skilled,Less than a year,NA/Not Delayed,Female,Credible
303,3000-6999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
304,Less than 1000,Less than a year,Younger than 30,Below 200DM,Unskilled,1-3 years,NA/Not Delayed,Female,Not Credible
305,1000-2999,2-3 years,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
306,1000-2999,Less than a year,Older than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
307,Less than 1000,Less than a year,Younger than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
308,1000-2999,1-2 years,Younger than 30,No Account,Highly Skilled,Less than a year,NA/Not Delayed,Female,Credible
309,More than 7000,More than 3 years,Older than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
310,Less than 1000,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
311,1000-2999,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
312,Less than 1000,Less than a year,Older than 30,200DM or above,Unskilled,1-3 years,Delays,Female,Credible
313,1000-2999,2-3 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Credible
314,Less than 1000,Less than a year,Older than 30,No Account,Unskilled,Less than a year,NA/Not Delayed,Male,Credible
315,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
316,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
317,3000-6999,1-2 years,Younger than 30,Below 200DM,Skilled,1-3 years,NA/Not Delayed,Male,Credible
318,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
319,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
320,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
321,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Credible
322,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
323,1000-2999,Less than a year,Younger than 30,No Account,Skilled,Less than a year,Delays,Female,Credible
324,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
325,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
326,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
327,1000-2999,Less than a year,Older than 30,Below 200DM,Skilled,More than 4 years,Delays,Male,Credible
328,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
329,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
330,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
331,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
332,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
333,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
334,Less than 1000,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
335,1000-2999,2-3 years,Younger than 30,No Account,Unskilled,Less than a year,NA/Not Delayed,Male,Credible
336,1000-2999,Less than a year,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Credible
337,1000-2999,Less than a year,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Credible
338,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
339,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
340,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
341,3000-6999,2-3 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Credible
342,3000-6999,1-2 years,Older than 30,200DM or above,Highly Skilled,Unemployed,Delays,Male,Credible
343,3000-6999,Less than a year,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
344,Less than 1000,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
345,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
346,Less than 1000,Less than a year,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
347,Less than 1000,Less than a year,Older than 30,Below 200DM,Skilled,More than 4 years,Delays,Male,Credible
348,1000-2999,1-2 years,Older than 30,No Account,Skilled,1-3 years,Delays,Male,Credible
349,Less than 1000,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
350,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
351,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
352,More than 7000,More than 3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Credible
353,3000-6999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,Delays,Female,Not Credible
354,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
355,More than 7000,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
356,1000-2999,2-3 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
357,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
358,1000-2999,1-2 years,Younger than 30,Below 200DM,Highly Skilled,More than 4 years,NA/Not Delayed,Female,Credible
359,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
360,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
361,1000-2999,1-2 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Credible
362,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
363,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Credible
364,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
365,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
366,1000-2999,2-3 years,Older than 30,Below 200DM,Unskilled,1-3 years,NA/Not Delayed,Female,Credible
367,1000-2999,1-2 years,Older than 30,None,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
368,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Credible
369,3000-6999,2-3 years,Younger than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
370,3000-6999,2-3 years,Younger than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
371,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
372,More than 7000,2-3 years,Younger than 30,None,Skilled,More than 4 years,Delays,Female,Credible
373,Less than 1000,Less than a year,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Credible
374,1000-2999,1-2 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Credible
375,3000-6999,2-3 years,Younger than 30,No Account,Highly Skilled,1-3 years,NA/Not Delayed,Male,Credible
376,1000-2999,1-2 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
377,3000-6999,2-3 years,Older than 30,None,Highly Skilled,More than 4 years,Delays,Male,Credible
378,1000-2999,1-2 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
379,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
380,3000-6999,1-2 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Credible
381,3000-6999,1-2 years,Younger than 30,No Account,Unskilled,More than 4 years,NA/Not Delayed,Female,Credible
382,More than 7000,More than 3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Credible
383,Less than 1000,Less than a year,Younger than 30,None,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
384,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
385,Less than 1000,Less than a year,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
386,Less than 1000,Less than a year,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
387,More than 7000,2-3 years,Older than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
388,1000-2999,Less than a year,Older than 30,Below 200DM,Skilled,1-3 years,NA/Not Delayed,Male,Credible
389,1000-2999,2-3 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
390,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
391,1000-2999,1-2 years,Older than 30,Below 200DM,Unskilled,Unemployed,Delays,Male,Credible
392,1000-2999,Less than a year,Older than 30,Below 200DM,Unskilled,1-3 years,Delays,Female,Credible
393,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
394,3000-6999,2-3 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
395,1000-2999,Less than a year,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
396,3000-6999,2-3 years,Older than 30,None,Skilled,Less than a year,Delays,Male,Credible
397,Less than 1000,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
398,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
399,3000-6999,1-2 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
400,1000-2999,2-3 years,Older than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Credible
401,1000-2999,1-2 years,Older than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
402,1000-2999,Less than a year,Younger than 30,No Account,Unskilled,Unemployed,NA/Not Delayed,Female,Credible
403,3000-6999,2-3 years,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
404,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Male,Credible
405,3000-6999,More than 3 years,Older than 30,None,Unskilled,Unemployed,NA/Not Delayed,Male,Credible
406,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
407,1000-2999,Less than a year,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
408,1000-2999,1-2 years,Older than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Credible
409,More than 7000,More than 3 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
410,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,Unemployed,NA/Not Delayed,Female,Credible
411,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
412,Less than 1000,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
413,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
414,Less than 1000,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
415,1000-2999,2-3 years,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
416,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,Unemployed,Delays,Female,Credible
417,3000-6999,2-3 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
418,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
419,1000-2999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Credible
420,Less than 1000,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
421,1000-2999,Less than a year,Older than 30,None,Skilled,1-3 years,Delays,Female,Credible
422,1000-2999,1-2 years,Older than 30,None,Unskilled,Unemployed,Delays,Male,Credible
423,1000-2999,1-2 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Female,Credible
424,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
425,Less than 1000,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
426,More than 7000,More than 3 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
427,1000-2999,Less than a year,Older than 30,None,Highly Skilled,More than 4 years,Delays,Female,Not Credible
428,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Credible
429,3000-6999,Less than a year,Older than 30,None,Unskilled,1-3 years,NA/Not Delayed,Female,Credible
430,3000-6999,2-3 years,Younger than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Female,Credible
431,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Not Credible
432,1000-2999,1-2 years,Younger than 30,None,Skilled,1-3 years,Delays,Male,Credible
433,1000-2999,1-2 years,Younger than 30,None,Skilled,1-3 years,Delays,Male,Credible
434,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
435,Less than 1000,Less than a year,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
436,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
437,Less than 1000,Less than a year,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
438,1000-2999,2-3 years,Older than 30,No Account,Highly Skilled,More than 4 years,Delays,Male,Credible
439,3000-6999,1-2 years,Older than 30,None,Unskilled,Unemployed,Delays,Male,Credible
440,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,Less than a year,Delays,Female,Credible
441,3000-6999,2-3 years,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
442,More than 7000,More than 3 years,Older than 30,No Account,Highly Skilled,More than 4 years,Delays,Male,Credible
443,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
444,Less than 1000,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
445,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
446,Less than 1000,Less than a year,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
447,Less than 1000,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Credible
448,3000-6999,More than 3 years,Older than 30,200DM or above,Highly Skilled,1-3 years,NA/Not Delayed,Male,Credible
449,Less than 1000,Less than a year,Older than 30,None,Unskilled,1-3 years,NA/Not Delayed,Female,Credible
450,Less than 1000,1-2 years,Older than 30,None,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
451,1000-2999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
452,More than 7000,Less than a year,Older than 30,None,Highly Skilled,Unemployed,NA/Not Delayed,Male,Credible
453,3000-6999,2-3 years,Younger than 30,None,Skilled,Less than a year,Delays,Female,Credible
454,3000-6999,1-2 years,Younger than 30,No Account,Skilled,Unemployed,NA/Not Delayed,Male,Credible
455,More than 7000,More than 3 years,Younger than 30,None,Unskilled,1-3 years,Delays,Male,Credible
456,1000-2999,1-2 years,Younger than 30,None,Skilled,1-3 years,Delays,Male,Credible
457,1000-2999,1-2 years,Older than 30,None,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
458,1000-2999,2-3 years,Younger than 30,None,Unskilled,Less than a year,Delays,Male,Credible
459,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Male,Credible
460,3000-6999,1-2 years,Older than 30,None,Highly Skilled,Unemployed,NA/Not Delayed,Male,Credible
461,More than 7000,1-2 years,Older than 30,None,Highly Skilled,Unemployed,Delays,Male,Credible
462,3000-6999,1-2 years,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
463,3000-6999,2-3 years,Older than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
464,More than 7000,1-2 years,Younger than 30,None,Unskilled,Unemployed,NA/Not Delayed,Female,Credible
465,1000-2999,1-2 years,Older than 30,Below 200DM,Highly Skilled,More than 4 years,NA/Not Delayed,Female,Credible
466,1000-2999,1-2 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
467,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
468,1000-2999,More than 3 years,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
469,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
470,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
471,Less than 1000,2-3 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
472,More than 7000,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
473,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Female,Credible
474,3000-6999,More than 3 years,Older than 30,Below 200DM,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
475,Less than 1000,2-3 years,Younger than 30,200DM or above,Unskilled,Less than a year,NA/Not Delayed,Male,Credible
476,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
477,3000-6999,2-3 years,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Male,Credible
478,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Female,Credible
479,3000-6999,1-2 years,Older than 30,None,Skilled,Unemployed,NA/Not Delayed,Female,Credible
480,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
481,3000-6999,1-2 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
482,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
483,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
484,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
485,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
486,3000-6999,1-2 years,Older than 30,200DM or above,Highly Skilled,Less than a year,Delays,Male,Credible
487,3000-6999,1-2 years,Older than 30,None,Skilled,More than 4 years,Delays,Female,Credible
488,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
489,3000-6999,1-2 years,Older than 30,200DM or above,Highly Skilled,Less than a year,NA/Not Delayed,Male,Credible
490,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Male,Credible
491,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
492,3000-6999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
493,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
494,1000-2999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Credible
495,1000-2999,2-3 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
496,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
497,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
498,Less than 1000,1-2 years,Older than 30,200DM or above,Unskilled,Unemployed,Delays,Female,Credible
499,1000-2999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
500,1000-2999,2-3 years,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Male,Credible
501,1000-2999,2-3 years,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
502,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
503,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
504,More than 7000,2-3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
505,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
506,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
507,3000-6999,2-3 years,Older than 30,200DM or above,Highly Skilled,1-3 years,Delays,Male,Credible
508,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
509,1000-2999,Less than a year,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
510,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
511,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
512,3000-6999,2-3 years,Older than 30,None,Skilled,Less than a year,Delays,Male,Credible
513,3000-6999,2-3 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Credible
514,3000-6999,1-2 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
515,1000-2999,2-3 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Credible
516,3000-6999,2-3 years,Older than 30,None,Highly Skilled,More than 4 years,Delays,Male,Credible
517,1000-2999,More than 3 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
518,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
519,More than 7000,More than 3 years,Younger than 30,200DM or above,Skilled,Less than a year,Delays,Female,Not Credible
520,3000-6999,More than 3 years,Younger than 30,200DM or above,Highly Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
521,More than 7000,More than 3 years,Younger than 30,200DM or above,Highly Skilled,Unemployed,NA/Not Delayed,Female,Not Credible
522,Less than 1000,Less than a year,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Credible
523,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
524,1000-2999,1-2 years,Older than 30,None,Highly Skilled,Unemployed,Delays,Male,Credible
525,More than 7000,More than 3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
526,Less than 1000,1-2 years,Older than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
527,1000-2999,1-2 years,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
528,1000-2999,1-2 years,Older than 30,200DM or above,Highly Skilled,1-3 years,NA/Not Delayed,Male,Credible
529,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
530,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
531,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
532,1000-2999,1-2 years,Older than 30,Below 200DM,Unskilled,1-3 years,NA/Not Delayed,Female,Credible
