,gender,disability,age_band,SES,highest_education,studied_credits,code_module,final_result
8262,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8263,F,Y,35-55,high,A Level or Equivalent,60-65,BBB,Pass
8267,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8268,F,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
8269,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8273,F,N,0-35,low,HE Qualification,60-65,BBB,Pass
8274,F,N,35-55,low,A Level or Equivalent,More than 65,BBB,Pass
8277,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8278,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
8279,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8281,F,N,35-55,high,A Level or Equivalent,More than 65,BBB,Pass
8282,M,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8285,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8286,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8288,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Fail
8291,M,N,0-35,low,HE Qualification,60-65,BBB,Pass
8292,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Pass
8295,M,N,0-35,high,A Level or Equivalent,60-65,BBB,Fail
8297,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
8298,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
8301,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8302,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8303,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Fail
8304,F,N,35-55,high,Lower Than A Level,60-65,BBB,Fail
8309,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Pass
8310,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Fail
8311,M,Y,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8314,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8316,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8317,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8318,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8320,F,N,0-35,high,Lower Than A Level,60-65,BBB,Fail
8323,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8325,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Pass
8326,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8328,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8329,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Fail
8332,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8333,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Pass
8334,M,N,0-35,high,HE Qualification,60-65,BBB,Pass
8335,F,N,0-35,high,Lower Than A Level,60-65,BBB,Fail
8338,M,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8339,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8340,M,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
8341,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
8342,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
8343,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8344,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8345,F,N,0-35,low,HE Qualification,60-65,BBB,Pass
8347,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8348,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8349,M,Y,0-35,low,Lower Than A Level,60-65,BBB,Pass
8351,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8352,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8353,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8354,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8356,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8357,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8358,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Fail
8359,M,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8360,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
8361,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8362,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
8363,M,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8364,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8367,F,Y,35-55,low,Lower Than A Level,60-65,BBB,Fail
8369,F,N,0-35,high,HE Qualification,60-65,BBB,Fail
8371,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8372,M,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8373,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8376,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8377,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8378,M,Y,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8379,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8382,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8385,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8386,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8387,M,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8388,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8390,F,Y,35-55,low,Lower Than A Level,60-65,BBB,Fail
8391,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8394,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
8396,F,N,35-55,high,HE Qualification,More than 65,BBB,Pass
8398,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Pass
8401,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
8402,F,N,0-35,low,HE Qualification,60-65,BBB,Fail
8404,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8405,F,N,0-35,high,HE Qualification,More than 65,BBB,Pass
8406,F,N,0-35,high,HE Qualification,More than 65,BBB,Pass
8415,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
8416,M,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
8417,M,N,35-55,high,Lower Than A Level,60-65,BBB,Fail
8419,M,N,35-55,high,Lower Than A Level,60-65,BBB,Fail
8420,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
8421,F,N,0-35,high,Lower Than A Level,60-65,BBB,Fail
8422,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Pass
8423,M,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8424,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8425,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8427,F,N,35-55,low,A Level or Equivalent,More than 65,BBB,Pass
8428,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
8432,M,N,35-55,high,Lower Than A Level,More than 65,BBB,Fail
8433,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8434,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
8435,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8436,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
8438,F,N,35-55,high,HE Qualification,More than 65,BBB,Pass
8439,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8440,F,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
8441,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8442,F,N,35-55,high,Lower Than A Level,60-65,BBB,Fail
8443,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8444,F,N,0-35,low,HE Qualification,60-65,BBB,Pass
8445,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8447,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8448,F,N,0-35,low,HE Qualification,60-65,BBB,Pass
8449,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Fail
8450,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8451,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8454,F,N,0-35,low,HE Qualification,More than 65,BBB,Pass
8455,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Pass
8456,F,N,35-55,high,HE Qualification,More than 65,BBB,Pass
8458,F,N,0-35,low,HE Qualification,More than 65,BBB,Pass
8459,F,N,0-35,low,HE Qualification,More than 65,BBB,Pass
8461,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8463,F,N,0-35,high,HE Qualification,More than 65,BBB,Pass
8464,F,N,35-55,low,HE Qualification,More than 65,BBB,Pass
8466,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Pass
8467,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8468,F,N,0-35,high,HE Qualification,More than 65,BBB,Pass
8469,F,N,35-55,high,HE Qualification,More than 65,BBB,Pass
8470,F,N,35-55,high,HE Qualification,More than 65,BBB,Pass
8471,F,N,35-55,low,A Level or Equivalent,More than 65,BBB,Pass
8473,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8474,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8475,F,N,0-35,high,HE Qualification,More than 65,BBB,Pass
8476,M,N,0-35,low,HE Qualification,More than 65,BBB,Pass
8478,M,N,0-35,low,A Level or Equivalent,More than 65,BBB,Pass
8479,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8480,F,N,35-55,high,HE Qualification,More than 65,BBB,Pass
8481,F,N,0-35,low,HE Qualification,60-65,BBB,Fail
8482,M,N,0-35,low,HE Qualification,More than 65,BBB,Fail
8483,F,N,0-35,low,HE Qualification,More than 65,BBB,Pass
8484,F,N,35-55,low,HE Qualification,60-65,BBB,Pass
8485,F,N,35-55,high,Lower Than A Level,60-65,BBB,Fail
8486,M,Y,35-55,high,Lower Than A Level,More than 65,BBB,Fail
8489,F,N,35-55,high,Lower Than A Level,More than 65,BBB,Pass
8490,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8491,F,N,35-55,low,A Level or Equivalent,More than 65,BBB,Pass
8492,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Fail
8493,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Pass
8494,F,Y,35-55,low,HE Qualification,More than 65,BBB,Fail
8495,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8496,M,N,35-55,low,HE Qualification,60-65,BBB,Pass
8497,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Fail
8498,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8499,M,N,35-55,high,A Level or Equivalent,60-65,BBB,Pass
8500,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Pass
8501,F,N,35-55,high,A Level or Equivalent,More than 65,BBB,Pass
8502,F,N,35-55,low,No Formal quals,More than 65,BBB,Pass
8503,F,Y,35-55,high,HE Qualification,60-65,BBB,Pass
8504,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Pass
8505,F,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
8506,F,N,35-55,low,A Level or Equivalent,More than 65,BBB,Pass
8507,M,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
8508,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8509,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8510,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8511,F,N,35-55,low,A Level or Equivalent,More than 65,BBB,Pass
8513,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Fail
8514,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8515,F,N,0-35,high,Post Graduate Qualification,60-65,BBB,Pass
8518,F,N,35-55,low,HE Qualification,60-65,BBB,Pass
8519,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Pass
8520,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8521,F,Y,35-55,low,Lower Than A Level,60-65,BBB,Fail
8523,F,N,35-55,high,A Level or Equivalent,More than 65,BBB,Pass
8524,F,N,35-55,high,Lower Than A Level,More than 65,BBB,Pass
8526,F,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
8528,M,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8529,M,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8533,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8535,F,N,35-55,low,HE Qualification,60-65,BBB,Pass
8538,F,N,35-55,high,Lower Than A Level,More than 65,BBB,Pass
8540,F,N,0-35,low,HE Qualification,More than 65,BBB,Pass
8542,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8544,M,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
8545,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Pass
8547,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8548,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8549,F,N,35-55,high,A Level or Equivalent,More than 65,BBB,Pass
8550,F,N,35-55,low,HE Qualification,60-65,BBB,Pass
8554,F,N,35-55,high,Lower Than A Level,60-65,BBB,Fail
8555,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8556,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8557,M,Y,35-55,low,Lower Than A Level,60-65,BBB,Fail
8558,F,N,35-55,high,A Level or Equivalent,More than 65,BBB,Fail
8560,F,N,0-35,low,HE Qualification,60-65,BBB,Fail
8562,M,N,35-55,high,A Level or Equivalent,60-65,BBB,Fail
8563,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
8566,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Fail
8567,F,N,0-35,high,HE Qualification,60-65,BBB,Fail
8569,M,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8571,F,N,35-55,high,A Level or Equivalent,More than 65,BBB,Pass
8573,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Pass
8574,F,N,35-55,high,Lower Than A Level,60-65,BBB,Fail
8575,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Pass
8577,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Pass
8579,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8581,F,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
8583,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
8584,F,N,35-55,high,A Level or Equivalent,More than 65,BBB,Pass
8585,M,N,35-55,high,HE Qualification,60-65,BBB,Pass
8586,M,Y,0-35,low,A Level or Equivalent,60-65,BBB,Fail
8587,M,N,35-55,low,A Level or Equivalent,60-65,BBB,Fail
8589,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8590,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8591,M,N,35-55,low,A Level or Equivalent,60-65,BBB,Fail
8592,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Pass
8593,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8594,M,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
8595,F,N,35-55,high,A Level or Equivalent,More than 65,BBB,Fail
8596,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8598,F,N,35-55,high,A Level or Equivalent,More than 65,BBB,Fail
8599,F,N,0-35,high,HE Qualification,60-65,BBB,Pass
8601,F,N,35-55,low,HE Qualification,More than 65,BBB,Pass
8602,F,N,0-35,high,Lower Than A Level,60-65,BBB,Fail
8603,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8604,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8605,F,N,35-55,high,Lower Than A Level,More than 65,BBB,Pass
8606,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8608,F,Y,35-55,high,Lower Than A Level,More than 65,BBB,Pass
8609,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8610,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8611,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
8612,M,N,55<=,high,HE Qualification,More than 65,BBB,Fail
8613,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
8614,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Pass
8615,M,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8616,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Fail
8617,M,N,35-55,low,A Level or Equivalent,More than 65,BBB,Fail
8618,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Pass
8619,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Pass
8620,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Pass
8621,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8622,F,Y,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8623,F,N,0-35,low,HE Qualification,60-65,BBB,Pass
8628,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8629,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
8631,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8632,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8633,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8638,F,N,35-55,low,HE Qualification,60-65,BBB,Pass
8639,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8640,F,Y,0-35,low,Lower Than A Level,60-65,BBB,Pass
8641,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8642,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Pass
8643,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
8644,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
8645,M,N,0-35,high,Lower Than A Level,More than 65,BBB,Fail
8647,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
8649,F,N,35-55,high,Lower Than A Level,More than 65,BBB,Pass
8650,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
8651,F,N,35-55,low,HE Qualification,60-65,BBB,Pass
8652,F,N,35-55,high,HE Qualification,More than 65,BBB,Pass
8653,F,Y,35-55,high,Lower Than A Level,More than 65,BBB,Pass
8654,F,N,35-55,high,Lower Than A Level,60-65,BBB,Fail
8655,F,N,0-35,low,HE Qualification,More than 65,BBB,Pass
8657,F,N,0-35,low,A Level or Equivalent,0-59,CCC,Fail
8658,M,N,0-35,high,A Level or Equivalent,More than 65,CCC,Pass
8659,M,N,0-35,low,HE Qualification,60-65,CCC,Pass
8662,M,N,35-55,high,HE Qualification,60-65,CCC,Pass
8664,M,N,35-55,high,HE Qualification,60-65,CCC,Pass
8669,F,N,0-35,low,A Level or Equivalent,More than 65,CCC,Pass
8671,M,N,0-35,low,A Level or Equivalent,0-59,CCC,Fail
8672,M,N,0-35,low,HE Qualification,60-65,CCC,Fail
8676,M,N,0-35,low,Lower Than A Level,More than 65,CCC,Pass
8677,M,N,35-55,low,HE Qualification,0-59,CCC,Pass
8680,M,N,0-35,high,A Level or Equivalent,More than 65,CCC,Pass
8682,F,N,35-55,low,HE Qualification,0-59,CCC,Fail
8685,M,N,0-35,high,HE Qualification,0-59,CCC,Pass
8686,F,N,0-35,low,A Level or Equivalent,60-65,CCC,Pass
8691,M,Y,35-55,low,Lower Than A Level,More than 65,CCC,Pass
8692,F,N,0-35,high,A Level or Equivalent,More than 65,CCC,Pass
8693,M,N,0-35,low,Lower Than A Level,60-65,CCC,Fail
8696,M,N,35-55,high,HE Qualification,More than 65,CCC,Pass
8698,F,N,0-35,low,HE Qualification,60-65,CCC,Pass
8702,M,N,0-35,low,HE Qualification,More than 65,CCC,Pass
8703,M,N,0-35,low,A Level or Equivalent,More than 65,CCC,Pass
8704,M,N,0-35,high,HE Qualification,0-59,CCC,Fail
8707,M,N,35-55,low,A Level or Equivalent,60-65,CCC,Pass
8710,M,N,35-55,low,HE Qualification,0-59,CCC,Pass
8712,M,N,0-35,high,A Level or Equivalent,More than 65,CCC,Pass
8713,M,Y,0-35,low,A Level or Equivalent,0-59,CCC,Pass
8717,M,N,35-55,low,Lower Than A Level,0-59,CCC,Fail
8718,M,N,0-35,low,A Level or Equivalent,More than 65,CCC,Pass
8722,M,Y,0-35,low,Lower Than A Level,More than 65,CCC,Pass
8724,M,N,35-55,high,HE Qualification,60-65,CCC,Fail
8725,M,N,0-35,high,Lower Than A Level,60-65,CCC,Fail
8727,F,N,35-55,low,Lower Than A Level,60-65,CCC,Pass
8728,M,N,0-35,high,Lower Than A Level,60-65,CCC,Pass
8731,M,N,35-55,high,Lower Than A Level,0-59,CCC,Fail
8732,F,N,0-35,low,A Level or Equivalent,More than 65,CCC,Pass
8733,F,N,35-55,high,A Level or Equivalent,0-59,CCC,Pass
8736,M,N,35-55,low,Lower Than A Level,0-59,CCC,Fail
8737,M,N,0-35,low,A Level or Equivalent,60-65,CCC,Pass
8739,M,N,35-55,low,A Level or Equivalent,60-65,CCC,Pass
8740,M,N,35-55,low,HE Qualification,0-59,CCC,Fail
8743,F,N,0-35,high,HE Qualification,0-59,CCC,Pass
8744,M,N,35-55,low,A Level or Equivalent,60-65,CCC,Pass
8745,M,Y,35-55,low,A Level or Equivalent,0-59,CCC,Pass
8746,M,N,35-55,high,A Level or Equivalent,60-65,CCC,Pass
8748,M,Y,35-55,high,HE Qualification,60-65,CCC,Pass
8751,M,N,35-55,high,Post Graduate Qualification,More than 65,CCC,Pass
8753,F,N,0-35,low,HE Qualification,60-65,CCC,Pass
8754,M,N,0-35,low,A Level or Equivalent,0-59,CCC,Pass
8758,M,N,0-35,high,A Level or Equivalent,More than 65,CCC,Fail
8761,F,N,35-55,high,Lower Than A Level,More than 65,CCC,Pass
8762,F,Y,0-35,high,Lower Than A Level,0-59,CCC,Pass
8763,M,N,0-35,high,A Level or Equivalent,More than 65,CCC,Pass
8765,F,N,0-35,high,A Level or Equivalent,0-59,CCC,Pass
8766,M,N,35-55,high,HE Qualification,More than 65,CCC,Fail
8769,M,N,0-35,low,Lower Than A Level,60-65,CCC,Fail
8771,M,N,35-55,high,HE Qualification,0-59,CCC,Fail
8773,M,N,0-35,high,A Level or Equivalent,0-59,CCC,Pass
8774,M,N,35-55,low,A Level or Equivalent,60-65,CCC,Fail
8775,M,N,0-35,high,A Level or Equivalent,60-65,CCC,Pass
8776,M,N,35-55,low,HE Qualification,0-59,CCC,Pass
8777,M,N,0-35,high,A Level or Equivalent,More than 65,CCC,Fail
8778,M,N,0-35,high,Lower Than A Level,60-65,CCC,Pass
8779,F,N,35-55,low,Lower Than A Level,0-59,CCC,Fail
8781,M,N,0-35,low,Lower Than A Level,More than 65,CCC,Fail
8782,M,N,35-55,low,Lower Than A Level,More than 65,CCC,Fail
8783,M,N,0-35,high,A Level or Equivalent,More than 65,CCC,Fail
8785,M,N,0-35,high,A Level or Equivalent,More than 65,CCC,Fail
8786,F,N,0-35,high,Post Graduate Qualification,60-65,CCC,Pass
8789,M,N,35-55,high,Lower Than A Level,More than 65,CCC,Fail
8790,M,N,0-35,low,A Level or Equivalent,60-65,CCC,Fail
8794,M,N,35-55,low,A Level or Equivalent,60-65,CCC,Pass
8795,M,N,0-35,high,HE Qualification,60-65,CCC,Fail
8797,M,N,0-35,low,HE Qualification,60-65,CCC,Fail
8799,M,N,0-35,low,A Level or Equivalent,60-65,CCC,Pass
8802,M,N,0-35,high,A Level or Equivalent,60-65,CCC,Pass
8805,F,N,0-35,low,HE Qualification,60-65,CCC,Fail
8806,M,N,0-35,low,Lower Than A Level,60-65,CCC,Pass
8808,M,N,0-35,low,A Level or Equivalent,60-65,CCC,Fail
8809,F,N,0-35,high,A Level or Equivalent,60-65,CCC,Pass
8810,M,N,0-35,high,A Level or Equivalent,0-59,CCC,Pass
8812,M,N,0-35,high,HE Qualification,More than 65,CCC,Pass
8815,F,N,0-35,low,A Level or Equivalent,More than 65,CCC,Pass
8816,M,N,0-35,high,Lower Than A Level,More than 65,CCC,Fail
8817,M,N,0-35,high,Lower Than A Level,More than 65,CCC,Fail
8818,M,N,0-35,low,HE Qualification,60-65,CCC,Pass
8820,M,N,35-55,low,A Level or Equivalent,0-59,CCC,Pass
8828,M,N,35-55,low,Lower Than A Level,More than 65,CCC,Pass
8833,F,N,0-35,low,HE Qualification,More than 65,CCC,Pass
8836,M,N,35-55,high,Post Graduate Qualification,0-59,CCC,Pass
8837,M,N,0-35,low,No Formal quals,0-59,CCC,Pass
8838,M,N,35-55,low,Lower Than A Level,60-65,CCC,Pass
8839,M,N,35-55,high,HE Qualification,0-59,CCC,Pass
8840,M,N,35-55,low,A Level or Equivalent,60-65,CCC,Pass
8841,M,N,0-35,low,HE Qualification,More than 65,CCC,Pass
8842,M,N,35-55,low,HE Qualification,More than 65,CCC,Pass
8845,F,N,0-35,low,HE Qualification,0-59,CCC,Pass
8848,M,N,0-35,high,A Level or Equivalent,0-59,CCC,Pass
8849,F,N,35-55,high,HE Qualification,0-59,CCC,Pass
8850,M,Y,0-35,low,A Level or Equivalent,More than 65,CCC,Pass
8853,M,N,0-35,high,HE Qualification,0-59,CCC,Pass
8855,M,Y,0-35,high,HE Qualification,More than 65,CCC,Fail
8859,F,N,35-55,low,HE Qualification,More than 65,CCC,Fail
8860,M,N,0-35,high,HE Qualification,More than 65,CCC,Pass
8863,M,N,0-35,high,HE Qualification,0-59,CCC,Pass
8864,F,N,0-35,high,Lower Than A Level,60-65,CCC,Fail
8867,M,N,0-35,low,HE Qualification,0-59,CCC,Pass
8868,M,Y,0-35,low,Lower Than A Level,More than 65,CCC,Fail
8869,M,N,35-55,high,HE Qualification,0-59,CCC,Pass
8871,M,N,35-55,low,A Level or Equivalent,More than 65,CCC,Fail
8874,M,N,0-35,low,A Level or Equivalent,60-65,CCC,Fail
8876,M,N,0-35,high,A Level or Equivalent,0-59,CCC,Fail
8881,F,N,0-35,high,Lower Than A Level,More than 65,CCC,Fail
8882,M,N,35-55,low,A Level or Equivalent,60-65,CCC,Pass
8884,M,N,0-35,high,A Level or Equivalent,More than 65,CCC,Pass
8889,M,N,0-35,high,Lower Than A Level,60-65,CCC,Fail
8890,M,N,0-35,high,Lower Than A Level,60-65,CCC,Pass
8891,M,N,0-35,low,Lower Than A Level,More than 65,CCC,Fail
8892,F,N,0-35,high,A Level or Equivalent,0-59,CCC,Fail
8893,M,N,0-35,high,HE Qualification,0-59,CCC,Pass
8896,M,N,0-35,low,Lower Than A Level,More than 65,CCC,Fail
8897,M,N,0-35,low,A Level or Equivalent,More than 65,CCC,Fail
8898,F,N,0-35,low,HE Qualification,0-59,CCC,Pass
8899,M,N,0-35,low,Lower Than A Level,60-65,CCC,Fail
8901,M,N,0-35,high,A Level or Equivalent,More than 65,CCC,Pass
8902,F,N,35-55,low,HE Qualification,More than 65,CCC,Pass
8907,F,N,35-55,low,Lower Than A Level,More than 65,CCC,Pass
8908,M,N,35-55,high,A Level or Equivalent,0-59,CCC,Fail
8909,M,N,0-35,low,A Level or Equivalent,More than 65,CCC,Fail
8911,M,N,35-55,high,HE Qualification,More than 65,CCC,Pass
8917,F,Y,0-35,low,A Level or Equivalent,60-65,CCC,Pass
8920,F,N,0-35,high,A Level or Equivalent,More than 65,CCC,Pass
8921,F,N,0-35,high,A Level or Equivalent,60-65,CCC,Pass
8923,M,N,35-55,low,Lower Than A Level,0-59,CCC,Fail
8924,F,N,35-55,high,A Level or Equivalent,More than 65,CCC,Pass
8925,M,N,35-55,low,HE Qualification,0-59,CCC,Fail
8926,M,N,0-35,low,Lower Than A Level,60-65,CCC,Fail
8928,M,N,0-35,high,A Level or Equivalent,More than 65,CCC,Fail
8929,M,N,0-35,low,Lower Than A Level,0-59,CCC,Pass
8934,M,N,0-35,high,Lower Than A Level,60-65,CCC,Fail
